ID,ST_SMILES
1219,"COCCCOc1ccnc(C[S+]([O-])c2nc3ccccc3[nH]2)c1C
"
1221,"Clc1ccc(CSC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1
"
1224,"Cc1ccc(/C(=C\CN2CCCC2)c2cccc(/C=C/C(=O)O)n2)cc1
"
1228,"CCCCC1C(=O)N(c2ccccc2)N(c2ccc(O)cc2)C1=O
"
1229,"CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1
"
1230,"Nc1ccn([C@@H]2CS[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O2)c(=O)n1
"
1231,"CCN(CC)CC#CCOC(=O)C(O)(c1ccccc1)C1CCCCC1
"
1237,"NCCCC[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O
"
1259,"COc1ccc2cc1Oc1cc3c(cc1OC)CC[N+](C)(C)[C@H]3Cc1ccc(cc1)Oc1c(OC)c(OC)cc3c1[C@@H](C2)[N+](C)(C)CC3
"
1265,"COc1ccc(-c2ccc3cc(C(=O)O)ccc3c2)cc1C12CC3CC(CC(C3)C1)C2
"
1267,"CC(O)c1ccc(CCOc2ccc(CC3SC(=O)NC3=O)cc2)nc1
"
1274,"CC1(C)NC(=O)N(c2ccc([N+](=O)[O-])c(C(F)(F)F)c2)C1=O
"
1278,"CNS(=O)(=O)CCc1ccc2[nH]cc(C3CCN(C)CC3)c2c1
"
1289,"Clc1cc(Cl)c(OCC#CI)cc1Cl
"
1292,"CC(C)/N=c1\cc2n(-c3ccc(Cl)cc3)c3ccccc3nc-2cc1Nc1ccc(Cl)cc1
"
1296,"CN(C)CCn1nnnc1SCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)Cc3csc(N)n3)[C@H]2SC1
"
1303,"CCCN(CCc1cccs1)[C@H]1CCc2c(O)cccc2C1
"
1323,"CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@H]21)S(=O)(=O)c1ccc(N)cc1
"
1336,"CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1
"
1337,"O=C1CCCC(=O)C1C(=O)c1ccc(C(F)(F)F)cc1[N+](=O)[O-]
"
1346,"NC(=O)C(c1ccccc1)(c1ccccc1)[C@@H]1CCN(CCc2ccc3c(c2)CCO3)C1
"
1349,"CC(C)[C@H](N)C(=O)OCCOCn1cnc2c(=O)[nH]c(N)nc21
"
1350,"O=P(O)(O)C(Sc1ccc(Cl)cc1)P(=O)(O)O
"
1372,"N[C@@H](CCC(=O)N[C@@H](CSSC[C@H](NC(=O)CC[C@H](N)C(=O)O)C(=O)NCC(=O)O)C(=O)NCC(=O)O)C(=O)O
"
1378,"CCSc1ccc2c(c1)N(CCCN1CCN(C)CC1)c1ccccc1S2
"
1382,"Cc1ccc(O)c([C@H](CCN(C(C)C)C(C)C)c2ccccc2)c1
"
1393,"CC(=O)S[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@H]2CC[C@@]3(C)[C@@H](CC[C@@]34CCC(=O)O4)[C@H]12
"
1397,"CC[C@@H]([C@H](C)O)n1ncn(-c2ccc(N3CCN(c4ccc(OC[C@@H]5CO[C@@](Cn6cncn6)(c6ccc(F)cc6F)C5)cc4)CC3)cc2)c1=O
"
1410,"CCCCCCCCCc1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCO)cc1
"
1421,"Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1
"
1423,"O=c1[nH]c2ccccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1
"
1428,"COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc([N+](=O)[O-])c1
"
1434,"CN(C)c1ccc(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(=O)C(C(N)=O)C(=O)[C@@]3(O)C(=O)C1C2=O
"
1435,"Cc1nnc(SCC2=C(C(=O)O)N3C(=O)[C@@H](NC(=O)Cn4cnnn4)[C@H]3SC2)s1
"
1436,"CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(COC(N)=O)CS[C@H]12)c1ccco1
"
1456,"COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)OCCN1CCOCC1)C(=O)OC2
"
1464,"CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O
"
1466,"O=c1oc2ccccc2c(O)c1Cc1c(O)c2ccccc2oc1=O
"
1480,"CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc(Cl)c1Cl
"
1484,"COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN(C)Cc2ccccc2)C1c1cccc([N+](=O)[O-])c1
"
1490,"OC(CCN1CCCCC1)(c1ccccc1)C1CCCCC1
"
1491,"CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl
"
1493,"Cc1c(-c2ccccc2)oc2c(C(=O)OCCN3CCCCC3)cccc2c1=O
"
1499,"C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2C(=O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO
"
1502,"COc1ccnc(C[S+]([O-])c2nc3cc(OC(F)F)ccc3[nH]2)c1OC
"
1504,"CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1
"
1505,"CN(C)CCc1c[nH]c2ccc(CS(=O)(=O)N3CCCC3)cc12
"
1508,"CN(C)CCC[C@@]1(c2ccc(F)cc2)OCc2cc(C#N)ccc21
"
