minimizedAffinity,ID,smiles
-8.32213,1265,COc1ccc(-c2ccc3cc(C(=O)O)ccc3c2)cc1[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2
-7.19765,1267,C[C@H](O)c1ccc(CCOc2ccc(C[C@@H]3SC(=O)NC3=O)cc2)nc1
-5.74890,1274,CC1(C)NC(=O)N(c2ccc([N+](=O)[O-])c(C(F)(F)F)c2)C1=O
-6.59531,1278,CNS(=O)(=O)CCc1ccc2[nH]cc(C3CC[NH+](C)CC3)c2c1
-5.57664,1289,Clc1cc(Cl)c(OCC#CI)cc1Cl
-7.73387,1292,CC(C)/N=c1\cc2n(-c3ccc(Cl)cc3)c3ccccc3nc-2cc1Nc1ccc(Cl)cc1
-6.84786,1296,C[NH+](C)CCn1nnnc1SCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)Cc3csc(N)n3)[C@H]2SC1
-4.53630,1303,CCC[N@H+](CCc1cccs1)[C@H]1CCc2c(O)cccc2C1
-7.66634,1323,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@H]21)S(=O)(=O)c1ccc(N)cc1
-9.86185,1336,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1
-6.76059,1337,O=C1CCCC(=O)C1C(=O)c1ccc(C(F)(F)F)cc1[N+](=O)[O-]
-8.37920,1346,NC(=O)C(c1ccccc1)(c1ccccc1)[C@@H]1CC[N@H+](CCc2ccc3c(c2)CCO3)C1
-7.37567,1349,CC(C)[C@H]([NH3+])C(=O)OCCOCn1cnc2c(=O)[nH]c(N)nc21
-6.00772,1350,O=P(O)(O)C(Sc1ccc(Cl)cc1)P(=O)(O)O
-8.00658,1372,[NH3+][C@@H](CCC(=O)N[C@@H](CSSC[C@H](NC(=O)CC[C@H]([NH3+])C(=O)O)C(=O)NCC(=O)O)C(=O)NCC(=O)O)C(=O)O
-5.56310,1378,CCSc1ccc2c(c1)N(CCC[NH+]1CC[NH+](C)CC1)c1ccccc1S2
